kanji,unicode,jumlah_goresan,joyo_status,joyo_urutan,kyouiku_kelas_sd,grade_kanjiapi,jlpt_baru,jlpt_lama,kanken_level,kanken_level_alt,kanken_kyu_resmi,kanken_dict_page,kanken_url,kanjipedia_url,freq_rank_mainichi_shinbun,on_yomi,kun_yomi,nanori,meanings_en,meaning_jp,bentuk_lama_kyuujitai,radikal_kanken,radikal_info_kanken,jukugo_contoh,jumlah_kosakata_terkait,antonim,sinonim,mirip_bentuk,varian,struktur_dekomposisi_kanjivg,elemen_kanjivg,radikal_kanjivg,radikal_posisi_kiri_kanan,radikal_posisi_atas_bawah,jis_menkuten,jis_unicode,jis_level,kategori_nama_anak,kanken_zititai_kubun,sumber
攮,652E,25,,,,,,,,,,,,,,"[""ドウ"", ""ヌ""]","[""お.す""]",,"[""to fend off"", ""to stab""]",,,,,,0,,,,,,,,,,,,,,,"{""kanji_gabungan_1"": false, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
支,652F,4,TRUE,761,5,5,N3,2,6,,6級,597,https://kanji.jitenon.jp/kanjib/716.html,https://www.kanjipedia.jp/kanji/0002702800,159,"[""シ""]","[""ささ（える）"", ""か（う）"", ""つか（える）""]",,"[""branch"", ""branch radical (no. 65)"", ""support"", ""sustain""]",① ささえる。もちこたえる。ふみこたえる。② わかれる。はなれる。枝分かれする。③ えだ。木のえだ＝枝④ てあし。人間や動物の手足。＝肢⑤ はらう。しはらう。また、わけ与える。⑥ 「十二支（じゅうにし）」のこと。【日本】① つかえる。ふさがる。② つかえる。さしつかえる。,,支,"{""nomor"": ""65"", ""strokes"": ""4"", ""kategori"": ""Nature"", ""arti_en"": ""branch"", ""cara_baca_jp"": ""しにょう"", ""cara_baca_romaji"": ""shinyou""}","[{""kategori"": ""小"", ""kata"": ""支える（１）""}, {""kategori"": ""小"", ""kata"": ""支持""}, {""kategori"": ""小"", ""kata"": ""下支え""}, {""kategori"": ""小"", ""kata"": ""買い支え""}, {""kategori"": ""中"", ""kata"": ""支援""}, {""kategori"": ""中"", ""kata"": ""身支度""}, {""kategori"": ""外"", ""kata"": ""支う""}, {""kategori"": ""外"", ""kata"": ""支える（２）""}, {""kategori"": ""外"", ""kata"": ""差し支え""}, {""kategori"": ""外"", ""kata"": ""差し支える""}]",300,,"[""枝"", ""派""]",,,"{""element"": ""支"", ""radical"": ""general"", ""g"": [{""element"": ""十""}, {""element"": ""又""}]}","[""十"", ""又""]","[""十"", ""又""]",,"[""十"", ""又""]",1-27-57,U+652F,1,常用漢字の通用字体,親字,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
攱,6531,9,,,,,,,,,,,,,,"[""キ""]","[""こしか.け"", ""の.せる"", ""まくら""]",,,,,,,,0,,,,,,,,,,,,,,,"{""kanji_gabungan_1"": false, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
攲,6532,12,FALSE,,,,,,,,,,,,,"[""キ""]","[""かたむ.く"", ""そばだ.つ"", ""そばだ.てる""]",,"[""uneven"", ""up""]",,,,,,1,,,,,,,,,,2-13-65,U+6532,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
攴,6534,4,FALSE,,,,,,1,,,,,,,"[""ホク""]",,,"[""folding chair radical (no. 66)"", ""hit"", ""strike""]",,,,,,2,,,,,"{""element"": ""攴"", ""radical"": ""tradit"", ""g"": [{""element"": ""攵"", ""variant"": ""true"", ""radical"": ""nelson"", ""g"": [{""element"": ""卜"", ""original"": ""ト""}, {""element"": ""又""}]}]}","[""攵"", ""又"", ""卜""]","[""攵""]",,,1-58-29,U+6534,2,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
攵,6535,4,FALSE,,,,,,1,,,,,,,"[""ホク""]",,,"[""folding chair radical variant (no. 66)"", ""hit"", ""strike""]",,,,,,2,,,,,"{""element"": ""攵"", ""variant"": ""true"", ""original"": ""攴"", ""radical"": ""general"", ""g"": [{""element"": ""乂"", ""g"": [{""element"": ""丿""}]}]}","[""乂"", ""丿""]","[""乂""]",,,1-58-30,U+6535,2,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
收,6536,6,FALSE,,,9,,,準1,,1/準1級,684,https://kanji.jitenon.jp/kanjim/6196.html,https://www.kanjipedia.jp/kanji/0003093900,,"[""シュウ""]","[""おさ（まる）"", ""おさ（める）""]",,"[""income""]",① おさまる。ちぢむ。ちぢまる。まとまる。② おさめる。一ヶ所にまとめる。一つにまとめる。③ おさめる。手に入れる。受け入れる。中に入れる。④ おさめる。（国などが）取り上げる。,収,攵,"{""nomor"": ""66"", ""strokes"": ""4"", ""kategori"": ""Weapon"", ""arti_en"": ""activity, to strike, hit"", ""cara_baca_jp"": ""ぼくづくり"", ""cara_baca_romaji"": ""bokuzukuri""}","[{""kategori"": ""外"", ""kata"": ""收める""}, {""kategori"": ""外"", ""kata"": ""收まる""}, {""kategori"": ""外"", ""kata"": ""收錄""}]",1,,,,"[""収""]","{""element"": ""收"", ""g"": [{""g"": [{""element"": ""丨""}]}, {""element"": ""攵"", ""variant"": ""true"", ""original"": ""攴"", ""radical"": ""general"", ""g"": [{""element"": ""乂"", ""g"": [{""element"": ""丿""}]}]}]}","[""乂"", ""攵"", ""丿"", ""丨""]","[""丨"", ""攵""]",,,1-58-32,U+6536,2,常用漢字の異体字,旧字,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
攷,6537,6,FALSE,,,,,,1,,,,,,,"[""コウ""]","[""かんが.える""]",,"[""examine"", ""investigate"", ""test""]",,,,,,2,,,,"[""考""]","{""element"": ""攷"", ""g"": [{""element"": ""攵"", ""variant"": ""true"", ""original"": ""攴"", ""radical"": ""tradit"", ""g"": [{""element"": ""乂"", ""g"": [{""element"": ""丿""}]}]}]}","[""乂"", ""攵"", ""丿""]","[""攵""]",,,1-58-31,U+6537,2,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
攸,6538,7,FALSE,,,,,,1,,,,,,,"[""ユウ""]","[""ところ""]",,"[""at ease"", ""place"", ""relaxed""]",,,,,,0,,,,,"{""element"": ""攸"", ""g"": [{""element"": ""亻"", ""variant"": ""true"", ""original"": ""人""}, {""element"": ""丨""}, {""element"": ""攴"", ""variant"": ""true"", ""original"": ""攵"", ""radical"": ""general"", ""g"": [{""element"": ""乂"", ""g"": [{""element"": ""丿""}]}]}]}","[""乂"", ""丨"", ""丿"", ""攴"", ""亻""]","[""亻"", ""丨"", ""攴""]",,,1-58-33,U+6538,2,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
改,6539,7,TRUE,178,4,4,N3,2,7,,7級,171,https://kanji.jitenon.jp/kanji/458.html,https://www.kanjipedia.jp/kanji/0000770400,147,"[""カイ""]","[""あらた（まる）"", ""あらた（める）""]",,"[""change"", ""examine"", ""inspect"", ""mend"", ""modify"", ""reformation"", ""renew"", ""search""]",あらためる。やめて新しくする。よくなるように直す。【日本】① あらためる。検査する。② あらたまる。きちんとした態度になる。,,攵,"{""nomor"": ""66"", ""strokes"": ""4"", ""kategori"": ""Weapon"", ""arti_en"": ""activity, to strike, hit"", ""cara_baca_jp"": ""ぼくづくり"", ""cara_baca_romaji"": ""bokuzukuri""}","[{""kategori"": ""小"", ""kata"": ""改まる""}, {""kategori"": ""小"", ""kata"": ""改める""}, {""kategori"": ""小"", ""kata"": ""改正""}, {""kategori"": ""小"", ""kata"": ""改善""}, {""kategori"": ""小"", ""kata"": ""改良""}, {""kategori"": ""小"", ""kata"": ""改造""}, {""kategori"": ""小"", ""kata"": ""改革""}, {""kategori"": ""小"", ""kata"": ""改札""}, {""kategori"": ""小"", ""kata"": ""改めて""}]",210,,"[""革"", ""更""]",,,"{""element"": ""改"", ""g"": [{""element"": ""己"", ""radical"": ""nelson"", ""phon"": ""己""}, {""element"": ""攴"", ""variant"": ""true"", ""original"": ""攵"", ""radical"": ""tradit"", ""g"": [{""element"": ""乂"", ""g"": [{""element"": ""丿""}]}]}]}","[""己"", ""乂"", ""攴"", ""丿""]","[""己"", ""攴""]","[""己"", ""攴""]",,1-18-94,U+6539,1,常用漢字の通用字体,親字,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
攺,653A,7,,,,,,,,,,,,,,"[""イ"", ""シ""]",,,,,,,,,0,,,,,,,,,,,,,,,"{""kanji_gabungan_1"": false, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
攻,653B,7,TRUE,607,,8,N1,1,4,,4級,484,https://kanji.jitenon.jp/kanjic/1097.html,https://www.kanjipedia.jp/kanji/0002184100,532,"[""コウ""]","[""せ（める）"", ""おさ（める）"", ""みが（く）""]","[""おさむ""]","[""aggression"", ""attack"", ""criticize"", ""polish""]",① せめる。敵をうつ。攻撃する。② せめる。とがめる。なじる。③ おさめる。みがく。玉をみがく。転じて、学んだり研究したりする。,,攵,"{""nomor"": ""66"", ""strokes"": ""4"", ""kategori"": ""Weapon"", ""arti_en"": ""activity, to strike, hit"", ""cara_baca_jp"": ""ぼくづくり"", ""cara_baca_romaji"": ""bokuzukuri""}","[{""kategori"": ""中"", ""kata"": ""攻める（１）""}, {""kategori"": ""中"", ""kata"": ""攻撃""}, {""kategori"": ""中"", ""kata"": ""専攻""}, {""kategori"": ""中"", ""kata"": ""攻め""}, {""kategori"": ""中"", ""kata"": ""攻勢""}, {""kategori"": ""中"", ""kata"": ""攻防""}, {""kategori"": ""中"", ""kata"": ""夜攻め""}, {""kategori"": ""外"", ""kata"": ""攻く""}, {""kategori"": ""外"", ""kata"": ""攻める（２）""}]",153,"[""防""]",,"[""功""]","[""坆""]","{""element"": ""攻"", ""g"": [{""element"": ""工"", ""radical"": ""nelson"", ""phon"": ""工""}, {""element"": ""攴"", ""variant"": ""true"", ""original"": ""攵"", ""radical"": ""tradit"", ""g"": [{""element"": ""乂"", ""g"": [{""element"": ""丿""}]}]}]}","[""工"", ""乂"", ""攴"", ""丿""]","[""工"", ""攴""]","[""工"", ""攴""]",,1-25-22,U+653B,1,常用漢字の通用字体,親字,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
攼,653C,7,,,,,,,,,,,,,,"[""カン""]","[""え.る"", ""と.める"", ""もと.める""]",,,,,,,,0,,,,,,,,,,,,,,,"{""kanji_gabungan_1"": false, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
攽,653D,8,,,,,,,,,,,,,,"[""ハン"", ""ヒン""]","[""わ.ける""]",,,,,,,,0,,,,,,,,,,,,,,,"{""kanji_gabungan_1"": false, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
放,653E,8,TRUE,1836,3,3,N3,2,8,,8級,1400,https://kanji.jitenon.jp/kanji/413.html,https://www.kanjipedia.jp/kanji/0006354700,288,"[""ホウ""]","[""はな（す）"", ""はな（つ）"", ""はな（れる）"", ""ほう（る）"", ""こ（く）"", ""さ（く）"", ""ひ（る）"", ""ほしいまま"", ""まか（す）"", ""ゆる（す）""]","[""はなれ""]","[""banish"", ""emit"", ""fire"", ""liberate"", ""release"", ""set free"", ""shoot""]",【A】ホウ① はなつ。はなす。ときはなして自由する。② はなつ。おいやる。おいだす。③ はなつ。とばす。うちだす。④ ほしいまま。気まま。【B】ホウならう。まねる。＝倣【日本】① ほうる。物を投げすてる。また、途中であきらめる。② こく。ひる。体の外に出す。,,攵,"{""nomor"": ""66"", ""strokes"": ""4"", ""kategori"": ""Weapon"", ""arti_en"": ""activity, to strike, hit"", ""cara_baca_jp"": ""ぼくづくり"", ""cara_baca_romaji"": ""bokuzukuri""}","[{""kategori"": ""小"", ""kata"": ""放つ""}, {""kategori"": ""小"", ""kata"": ""放す（１）""}, {""kategori"": ""小"", ""kata"": ""放る（１）""}, {""kategori"": ""小"", ""kata"": ""放れる""}, {""kategori"": ""小"", ""kata"": ""開放""}, {""kategori"": ""小"", ""kata"": ""民放""}, {""kategori"": ""小"", ""kata"": ""放送""}, {""kategori"": ""小"", ""kata"": ""手放し""}, {""kategori"": ""小"", ""kata"": ""っ放し""}, {""kategori"": ""小"", ""kata"": ""見放す""}, {""kategori"": ""外"", ""kata"": ""放く（１）""}, {""kategori"": ""外"", ""kata"": ""放す（２）""}, {""kategori"": ""外"", ""kata"": ""放く（２）""}, {""kategori"": ""外"", ""kata"": ""放る（２）""}, {""kategori"": ""外"", ""kata"": ""放す（３）""}, {""kategori"": ""外"", ""kata"": ""屁っ放り""}, {""kategori"": ""外"", ""kata"": ""放り出しの嗅ぎ出し""}, {""kategori"": ""外"", ""kata"": ""屁を放って尻窄める""}]",541,,,,,"{""element"": ""放"", ""g"": [{""element"": ""方"", ""radical"": ""nelson"", ""phon"": ""方"", ""g"": [{""element"": ""亠""}]}, {""element"": ""攴"", ""variant"": ""true"", ""original"": ""攵"", ""radical"": ""tradit"", ""g"": [{""element"": ""乂"", ""g"": [{""element"": ""丿""}]}]}]}","[""乂"", ""方"", ""丿"", ""亠"", ""攴""]","[""方"", ""攴""]","[""方"", ""攴""]",,1-42-92,U+653E,1,常用漢字の通用字体,親字,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
政,653F,9,TRUE,1117,5,5,N3,2,6,,6級,857,https://kanji.jitenon.jp/kanjib/746.html,https://www.kanjipedia.jp/kanji/0003873300,17,"[""セイ"", ""ショウ""]","[""まつりごと""]","[""ただ"", ""まさ""]","[""government"", ""politics""]",① まつりごと。世の中をまとめおさめること。② ただす。ただしく変える。＝正③ 物事を行う方法。決まり。基準。,,攵,"{""nomor"": ""66"", ""strokes"": ""4"", ""kategori"": ""Weapon"", ""arti_en"": ""activity, to strike, hit"", ""cara_baca_jp"": ""ぼくづくり"", ""cara_baca_romaji"": ""bokuzukuri""}","[{""kategori"": ""小"", ""kata"": ""財政""}, {""kategori"": ""小"", ""kata"": ""政権""}, {""kategori"": ""小"", ""kata"": ""行政""}, {""kategori"": ""小"", ""kata"": ""政界""}, {""kategori"": ""高"", ""kata"": ""政""}, {""kategori"": ""高"", ""kata"": ""摂政""}, {""kategori"": ""高"", ""kata"": ""太政官""}, {""kategori"": ""外"", ""kata"": ""結縄之政""}]",694,,,,,"{""element"": ""政"", ""g"": [{""element"": ""正"", ""phon"": ""正"", ""g"": [{""element"": ""止"", ""g"": [{""element"": ""卜"", ""original"": ""ト""}]}]}, {""element"": ""攴"", ""variant"": ""true"", ""original"": ""攵"", ""radical"": ""general"", ""g"": [{""element"": ""乂"", ""g"": [{""element"": ""丿""}]}]}]}","[""乂"", ""正"", ""丿"", ""卜"", ""止"", ""攴""]","[""正"", ""攴""]","[""正"", ""攴""]",,1-32-15,U+653F,1,常用漢字の通用字体,親字,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
敃,6543,9,,,,,,,,,,,,,,"[""ビン"", ""フン"", ""ミン""]","[""つと.める""]",,"[""robust"", ""strong"", ""vigorous""]",,,,,,0,,,,,,,,,,,,,,,"{""kanji_gabungan_1"": false, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
敄,6544,9,FALSE,,,,,,,,,,,,,,,,"[""to put forth effort""]",,,,,,0,,,,,,,,,,2-13-66,U+6544,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
故,6545,9,TRUE,566,5,5,N2,2,6,,6級,452,https://kanji.jitenon.jp/kanjib/694.html,https://www.kanjipedia.jp/kanji/0002046000,612,"[""コ""]","[""ゆえ"", ""ことさら（に）"", ""ふる（い）"", ""もと""]",,"[""cause"", ""circumstances"", ""consequently"", ""especially"", ""happenstance"", ""intentionally"", ""reason"", ""the late"", ""therefore""]",① ふるい。むかしの。以前の。② ふるい。ふるくからの。以前からの。③ もと。もとより。もともと。④ ゆえ。理由。原因。⑤ ゆえに。そのような理由で。したがって。⑥ ことさらに。わざと。わざわざ。⑦ 死ぬ。死んだ。亡くなった。,,攵,"{""nomor"": ""66"", ""strokes"": ""4"", ""kategori"": ""Weapon"", ""arti_en"": ""activity, to strike, hit"", ""cara_baca_jp"": ""ぼくづくり"", ""cara_baca_romaji"": ""bokuzukuri""}","[{""kategori"": ""小"", ""kata"": ""故障""}, {""kategori"": ""小"", ""kata"": ""事故""}, {""kategori"": ""中"", ""kata"": ""故に（１）""}, {""kategori"": ""高"", ""kata"": ""我思う、故に我あり""}, {""kategori"": ""外"", ""kata"": ""故い""}, {""kategori"": ""外"", ""kata"": ""故に（２）""}, {""kategori"": ""外"", ""kata"": ""故""}, {""kategori"": ""外"", ""kata"": ""故郷""}, {""kategori"": ""外"", ""kata"": ""故きを温ねて新しきを知る""}]",148,"[""新""]","[""旧"", ""古"", ""昔""]",,,"{""element"": ""故"", ""g"": [{""element"": ""古"", ""phon"": ""古"", ""g"": [{""element"": ""十""}, {""element"": ""口""}]}, {""element"": ""攴"", ""variant"": ""true"", ""original"": ""攵"", ""radical"": ""general"", ""g"": [{""element"": ""乂"", ""g"": [{""element"": ""丿""}]}]}]}","[""乂"", ""十"", ""丿"", ""古"", ""口"", ""攴""]","[""古"", ""攴""]","[""古"", ""攴""]",,1-24-46,U+6545,1,常用漢字の通用字体,親字,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
敇,6547,10,,,,,,,,,,,,,,"[""サク"", ""シャク""]","[""むちう.つ""]",,,,,,,,0,,,,,,,,,,,,,,,"{""kanji_gabungan_1"": false, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
效,6548,10,FALSE,,,,,,準1,,1/準1級,486,https://kanji.jitenon.jp/kanjim/6198.html,https://www.kanjipedia.jp/kanji/0002190700,,"[""コウ""]","[""き（く）"", ""いた（す）"", ""かい"", ""なら（う）""]",,"[""effect"", ""effectiveness"", ""result""]",① きく。ききめがある。② いたす。尽力する。③ かい。しるし。ききめ。例：效果（こうか）④ ならう。まねる。まねをする。,効,攵,"{""nomor"": ""66"", ""strokes"": ""4"", ""kategori"": ""Weapon"", ""arti_en"": ""activity, to strike, hit"", ""cara_baca_jp"": ""ぼくづくり"", ""cara_baca_romaji"": ""bokuzukuri""}","[{""kategori"": ""外"", ""kata"": ""效す""}, {""kategori"": ""外"", ""kata"": ""效う""}, {""kategori"": ""外"", ""kata"": ""效く""}]",1,,,,"[""効""]","{""element"": ""效"", ""g"": [{""element"": ""交"", ""g"": [{""element"": ""亠""}, {""element"": ""父""}]}, {""element"": ""攵"", ""variant"": ""true"", ""original"": ""攴"", ""radical"": ""tradit"", ""g"": [{""element"": ""乂"", ""g"": [{""element"": ""丿""}]}]}]}","[""乂"", ""交"", ""父"", ""攵"", ""丿"", ""亠""]","[""交"", ""攵""]","[""交"", ""攵""]",,1-58-35,U+6548,2,,旧字,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
敉,6549,10,,,,,,,,,,,,,,"[""ヒ"", ""ミ""]","[""な.でる""]",,"[""pacify"", ""soothe"", ""stabilize""]",,,,,,0,,,,,,,,,,,,,,,"{""kanji_gabungan_1"": false, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
敍,654D,11,FALSE,,,9,,,準1,,1/準1級,734,https://kanji.jitenon.jp/kanjim/6200.html,https://www.kanjipedia.jp/kanji/0003322300,,"[""ジョ""]","[""の（べる）""]",,"[""express"", ""narrate"", ""relate"", ""state""]",① のべる。順序立てて述べる。② 順序。序列。③ 官位・勲位を授ける。④ 書物のはしがき。＝序,叙,攴,,"[{""kategori"": ""外"", ""kata"": ""敍べる""}]",0,,,,"[""叙"", ""敘""]","{""element"": ""敍"", ""g"": [{""element"": ""余"", ""g"": [{""element"": ""人"", ""variant"": ""true""}, {""g"": [{""element"": ""小""}]}]}, {""element"": ""攴"", ""radical"": ""tradit"", ""g"": [{""element"": ""卜"", ""original"": ""ト""}, {""element"": ""又""}]}]}","[""人"", ""又"", ""余"", ""卜"", ""小"", ""攴""]","[""余"", ""攴""]","[""余"", ""攴""]",,1-58-38,U+654D,2,常用漢字の異体字,旧字,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
敎,,11,FALSE,,,,,,準1,,1/準1級,337,https://kanji.jitenon.jp/kanjix/11553.html,https://www.kanjipedia.jp/kanji/0001522000,,"[""キョウ""]","[""おし（える）"", ""おそ（わる）""]",,,① おしえる。おしえみちびく。おしえさとす。② おしえ。いましめ。③ おしえ。神仏のおしえ。④ しむ。せしむ。「敎ＡＢ」の形で、「ＡをしてＢせしむ」と読み、「ＡにＢをさせる」の意。,教,攵,"{""nomor"": ""66"", ""strokes"": ""4"", ""kategori"": ""Weapon"", ""arti_en"": ""activity, to strike, hit"", ""cara_baca_jp"": ""ぼくづくり"", ""cara_baca_romaji"": ""bokuzukuri""}","[{""kategori"": ""外"", ""kata"": ""敎わる""}, {""kategori"": ""外"", ""kata"": ""敎える""}]",0,,,,,,,,,,,,,,旧字,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": false, ""kanji_gabungan_4_kanjiapi"": true}"
敏,654F,10,TRUE,1734,,8,N1,1,4,"[""準1""]",4級,1316,https://kanji.jitenon.jp/kanjic/1250.html,https://www.kanjipedia.jp/kanji/0005989500,1042,"[""ビン""]","[""さと（い）"", ""と（し）""]","[""さとし"", ""ちょう"", ""とし"", ""び""]","[""agile"", ""alert"", ""cleverness""]",① とし。はやい。動きがすばやい。② さとい。かしこい。頭のはたらきがよい。,敏,攵,"{""nomor"": ""66"", ""strokes"": ""4"", ""kategori"": ""Weapon"", ""arti_en"": ""activity, to strike, hit"", ""cara_baca_jp"": ""ぼくづくり"", ""cara_baca_romaji"": ""bokuzukuri""}","[{""kategori"": ""中"", ""kata"": ""機敏""}, {""kategori"": ""中"", ""kata"": ""敏速""}, {""kategori"": ""中"", ""kata"": ""鋭敏""}, {""kategori"": ""中"", ""kata"": ""過敏""}, {""kategori"": ""中"", ""kata"": ""敏感""}, {""kategori"": ""外"", ""kata"": ""敏し""}, {""kategori"": ""外"", ""kata"": ""敏い""}, {""kategori"": ""外"", ""kata"": ""敏耳""}, {""kategori"": ""外"", ""kata"": ""目敏い""}]",38,"[""鈍""]",,,"[""敏""]","{""element"": ""敏"", ""g"": [{""element"": ""毎"", ""g"": [{""g"": [{""element"": ""丿""}]}, {""element"": ""毋"", ""original"": ""母"", ""partial"": ""true""}]}, {""element"": ""攴"", ""variant"": ""true"", ""original"": ""攵"", ""radical"": ""general"", ""g"": [{""element"": ""乂"", ""g"": [{""element"": ""丿""}]}]}]}","[""乂"", ""毎"", ""丿"", ""毋"", ""攴""]","[""毎"", ""攴""]","[""毎"", ""攴""]",,1-41-50,U+654F,1,常用漢字の通用字体,親字,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
敐,6550,10,,,,,,,,,,,,,,"[""シン"", ""ジン""]","[""よろこんでうご.く""]",,,,,,,,0,,,,,,,,,,,,,,,"{""kanji_gabungan_1"": false, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
救,6551,11,TRUE,376,5,4,N3,2,6,,6級,308,https://kanji.jitenon.jp/kanji/477.html,https://www.kanjipedia.jp/kanji/0001400000,799,"[""キュウ"", ""ク"", ""グ""]","[""すく（う）"", ""たす（ける）""]",,"[""help"", ""reclaim"", ""rescue"", ""salvation"", ""save""]",すくう。たすける。ふせぎとめる。,,攵,"{""nomor"": ""66"", ""strokes"": ""4"", ""kategori"": ""Weapon"", ""arti_en"": ""activity, to strike, hit"", ""cara_baca_jp"": ""ぼくづくり"", ""cara_baca_romaji"": ""bokuzukuri""}","[{""kategori"": ""小"", ""kata"": ""救う""}, {""kategori"": ""小"", ""kata"": ""救済（１）""}, {""kategori"": ""小"", ""kata"": ""救い""}, {""kategori"": ""中"", ""kata"": ""救援""}, {""kategori"": ""外"", ""kata"": ""救ける""}, {""kategori"": ""外"", ""kata"": ""救世（１）""}, {""kategori"": ""外"", ""kata"": ""救済（２）""}, {""kategori"": ""外"", ""kata"": ""救世（２）""}]",112,,,,,"{""element"": ""救"", ""g"": [{""element"": ""求"", ""variant"": ""true"", ""phon"": ""求"", ""g"": [{""element"": ""氺"", ""variant"": ""true"", ""original"": ""水""}, {""element"": ""丶""}]}, {""element"": ""攴"", ""variant"": ""true"", ""original"": ""攵"", ""radical"": ""general"", ""g"": [{""element"": ""乂"", ""g"": [{""element"": ""丿""}]}]}]}","[""氺"", ""乂"", ""求"", ""丿"", ""攴"", ""丶""]","[""求"", ""攴""]","[""求"", ""攴""]",,1-21-63,U+6551,1,常用漢字の通用字体,親字,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": true, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
敒,6552,11,,,,,,,,,,,,,,"[""ショウ"", ""シン"", ""チン""]","[""おさ.める"", ""の.べる""]",,,,,,,,0,,,,,,,,,,,,,,,"{""kanji_gabungan_1"": false, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
敔,6554,11,FALSE,,,,,,,,,,,,,"[""ギョ"", ""ゴ""]","[""さしと.める""]",,"[""gavel""]",,,,,,0,,,,,,,,,,2-13-67,U+6554,4,,,"{""kanji_gabungan_1"": true, ""kanji_gabungan_2_kanjivg"": false, ""kanji_gabungan_3_kanjidic2"": true, ""kanji_gabungan_4_kanjiapi"": true}"
